,subject,trials,activations,torques,emgSO,emgMG,emgLG,lnemgSO,lnemgMG,lnemgLG,emgSO_norm_mvc,emgSO_norm_mmax,emgMG_norm_mvc,emgMG_norm_mmax,emgLG_norm_mvc,emgLG_norm_mmax
1,sub23,05,5.350289234562267,5.058987682981092,0.03147355700984847,0.016239316879410687,0.008600900757263448,-3.4586075456992216,-4.12032000920902,-4.755888341990763,8.37338482404674,1.39842038486918,12.284567842628693,0.6369437969308664,4.726100848496138,0.42799480870407997
2,sub23,10,12.122446258549092,9.720629126113515,0.02957426316617984,0.014920333423568981,0.014804699677594353,-3.5208507835048066,-4.205030337032028,-4.212810602835657,7.829241445172809,1.3075442088305937,11.175649992822205,0.5794474035055185,8.34060386679227,0.755323525857509
3,sub23,15,19.46411362701902,14.31963473952768,0.05387706954193528,0.019379233389386158,0.019827994878778205,-2.9210503175245948,-3.9435532300931273,-3.9206604571061607,14.226645109851269,2.3759603730120404,13.644864579310928,0.7074739596125719,10.951168703858578,0.991735789130588
4,sub23,25,34.37409187606054,25.00045295912017,0.07994864806347887,0.026012711573513907,0.021187740233480436,-2.5263707496202694,-3.649169953762971,-3.8543325554523937,19.906656096862328,3.3245663809081902,22.091846008767284,1.1454423515988514,12.30781604092601,1.1145935181804953
5,sub23,50,51.71493265998084,35.85122541188122,0.10206948595023096,0.027536844905710144,0.031223565600863045,-2.2821014628267817,-3.5922303563074043,-3.4665821615480565,24.444771196176397,4.082466895111047,19.43188813797883,1.0075259277083062,17.407540213045067,1.5764235851762505
6,sub23,75,71.25475682469596,50.435265173977285,0.10434583728630262,0.0411566714595339,0.03254784262589921,-2.2600445380964813,-3.190369239616388,-3.4250441912983116,34.01033546902579,5.6799905194300555,31.040074920429213,1.6093999748391739,19.97319132713826,1.8087684700991233
7,sub23,90,91.32429610965983,76.85500279455809,0.36433973753797555,0.11868776363064792,0.10628153765649269,-1.009668501756352,-2.1312590691954765,-2.2416636902191525,98.1987982179717,16.39996298788291,96.57899697167888,5.00753415365994,58.49456097870759,5.29725649935664
8,sub23,95,93.81663003001026,85.16728837130717,0.3360718200180323,0.1325875731676096,0.13829098287315855,-1.090430391806553,-2.0205119223067514,-1.978395242197263,81.90969403687679,13.679555910367014,94.1272193064037,4.880411686239344,73.4581950345294,6.652360400128711
9,sub23,100,100.0,87.79700804830685,0.27958213419230116,0.08451619945433068,0.10838609490118921,-1.2744591684025803,-2.470812053474224,-2.2220554740239256,69.29132710880101,11.572190501183265,60.66775226297333,3.145568405226916,59.47099876085389,5.385682522240624
0,sub24,01,1.1217827956076953,0.767511921593193,0.010060914872630495,0.010026380215460684,0.006970347330039293,-4.599097176832112,-4.6025356379134745,-4.966090223307914,3.47590256772973,1.0725610022846535,3.857296010889224,0.3998049301380557,3.34455679305087,0.48821383967014387
1,sub24,05,4.060623232648997,1.5463905205762398,0.005800299718162682,0.006809259863115033,0.0031297486674700193,-5.149845687219608,-4.989471848557623,-5.766802575587028,1.9586899901653756,0.6043939546869495,2.49552743511138,0.25865895929057847,1.4495999286517154,0.21160195234928286
2,sub24,10,11.271336561565459,2.008997188554818,0.00957751735620168,0.011527583528403022,0.010761785018395989,-4.648336869206129,-4.4630125478976925,-4.531753844104397,3.2282497867150775,0.9961426591786936,4.335451823499668,0.44936530888942705,5.580921337823267,0.8146619130214576
3,sub24,15,20.85045036242287,8.449552032578179,0.019312724863762752,0.018340440932382695,0.010654500610146729,-3.946991080960876,-3.9986467703281745,-4.541772883591726,5.7609730667506005,1.7776663546253255,7.270046785632417,0.7535331846518319,5.433621422224017,0.7931601530491896
4,sub24,25,33.92023235243802,15.549807117291493,0.0547220220296884,0.02232668323141144,0.021786831243216627,-2.905489054053624,-3.801972758358003,-3.8264495631238193,18.426964732502903,5.686017768750657,8.118112873943469,0.8414343989305594,9.916388684456916,1.4475215984848255
5,sub24,50,44.21345086736462,22.418759999484454,0.04911823237287535,0.052080516152637514,0.036844715186715074,-3.013524981684989,-2.9549643703660053,-3.301043084831996,16.180716901694304,4.9928919466522,21.27723295814522,2.2053642272585976,16.580911496066193,2.4203596971487222
6,sub24,75,56.54950161426087,34.037452488411574,0.08925685263585054,0.07283047191797223,0.04246921632385147,-2.4162370810362206,-2.6196208410537922,-3.1589757872912636,25.754105692462538,7.9469573373267055,26.949551020700408,2.79329440433565,20.666100807600287,3.016685632981966
7,sub24,90,82.9358796360625,40.75893748117087,0.12630848771958406,0.13036176969263719,0.07024058969997099,-2.0690280490366386,-2.037441849678125,-2.655828934189792,37.86722708053766,11.684709292001095,49.02222382260416,5.081105187488616,33.16612866343242,4.8413479045748335
8,sub24,95,93.37494440582208,72.69926110319818,0.19232278098005925,0.1952513929681069,0.19891958222875747,-1.6485801675689844,-1.6334673560081137,-1.6148546453350827,57.54498881086785,17.756686119011693,75.92258807511945,7.869301431775762,90.54516687921138,13.21711853645936
9,sub24,100,100.0,93.45600334512763,0.18508031681722195,0.21159697984887033,0.16437606142274583,-1.6869654031595107,-1.5530718520257956,-1.805598418746267,57.27437899726742,17.67318391282272,78.72813465260336,8.16009356964735,79.05020863967508,11.53916894665653
0,sub25,01,-0.8173291153446005,1.8795011293696888,0.009789133114781625,0.008609122602736222,0.007804277793435276,-4.626482374390804,-4.754932870179217,-4.853083260566328,6.942739345639741,0.541778411423645,3.6390995596309055,0.5635330990495874,4.689721430409515,0.683733802904126
1,sub25,05,4.714709551276963,5.829715404891932,0.011305390824894304,0.017370560927212973,0.008354098848719006,-4.482475602872826,-4.052978406377011,-4.785002980475481,7.670632031036956,0.5985797002447588,9.893293764291968,1.5320269213422877,5.207828030933862,0.7592706981212279
2,sub25,10,8.664015454829066,11.075279521763143,0.019814073803557365,0.03404216842803615,0.012801011512520161,-3.9213627956195536,-3.380155274954634,-4.358231086763193,14.092541594023167,1.099715028553759,14.729176377679254,2.2808879709252663,7.292418941496488,1.0631917927807673
3,sub25,15,13.601638744108458,15.696663605042787,0.02455985721668724,0.03133497418155276,0.015529657754125568,-3.7066419893728946,-3.463020419255008,-4.165003679789709,17.80279426177971,1.3892455288713186,14.935804299006488,2.3128853568026453,8.300639333553821,1.2101843962980838
